"Parasite.species","parasite_genus","parasite_family","parasite_order","parasite_class","parasite_phylum","Host.no","Host_no_fac","Stage","assumed_stage","Def.int","Facultative","num_hosts","host_phylum","host_class","host_bm","host_tl","endo_ecto","prop_endo","vert_invert","habitat","prop_terr","Site","body_cavity","gi_tract","gi_wall","pulmonary","biliary","urinary","enclosed","lcl_max","lcl_max_fac","initial_biov","initial_length","initial_width","biovolume","avg_length","avg_width","avg_dt","avg_dd","rel_growth","biov_paratenic","avg_dt_paratenic","avg_dd_paratenic","rel_growth_paratenic","tree_tips"
"Cladotaenia globifera","Cladotaenia","Paruterinidae","Cyclophyllidea","Cestoda","Platyhelminthes",1,"1","1larv","no","int","no",21,"Chordata","Mammalia",1.30858847242209,2.27,"endo",1,"vert","terrestrial",1,"liver","no","no","no","no","yes","no","no",2,"2",2.25189361409316e-05,0.042,0.032,0.65287164810209,0.864722222222222,0.64,21,703.5,4.4622799397982,0.65287164810209,21,703.5,4.4622799397982,"Cladotaenia_globifera"
"Cladotaenia globifera","Cladotaenia","Paruterinidae","Cyclophyllidea","Cestoda","Platyhelminthes",2,"2","adult","no","def","no",11,"Chordata","Aves",2.68025674772017,3.4510101010101,"endo",1,"vert","terrestrial",1,"gut","no","yes","no","no","no","no","no",2,"2",0.65287164810209,0.864722222222222,0.64,528.87,285.5,1.93,NA,NA,2.90852112334057,528.87,NA,NA,2.90852112334057,"Cladotaenia_globifera"
"Clavinema fujimotoi","Clavinema","Philometridae","Spirurida","Chromadorea","Nematoda",1,"1","1larv","no","int","no",4,"Arthropoda","Hexanauplia",-4.90630638638987,NA,"ecto",0,"invert","aquatic",0,"body cavity","yes","no","no","no","no","no","no",2,"2",7.59872723087031e-05,0.43,0.015,8.46659220142449e-05,0.55,0.014,NA,NA,0.0469677871597707,8.46659220142449e-05,NA,NA,0.0469677871597707,"Clavinema_fujimotoi"
"Clavinema fujimotoi","Clavinema","Philometridae","Spirurida","Chromadorea","Nematoda",2,"2","adult","no","def","no",1,"Chordata","Actinopterygii",3.06228329788031,4.44,"ecto",0,"invert","aquatic",0,"fins","no","no","no","no","no","no","yes",2,"2",8.46659220142449e-05,0.55,0.014,96.2112750161874,40,1.75,NA,NA,6.05551732784983,96.2112750161874,NA,NA,6.05551732784983,"Clavinema_fujimotoi"
"Clistobothrium carcharodoni","Clistobothrium","Phyllobothriidae","Phyllobothriidea","Cestoda","Platyhelminthes",1,"1","1larv","yes","int","no",NA,NA,NA,NA,NA,"ecto",0,"invert","aquatic",0,NA,NA,NA,NA,NA,NA,NA,NA,4,"3+",1.01230492879073e-05,0.0286,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clistobothrium_carcharodoni"
"Clistobothrium carcharodoni","Clistobothrium","Phyllobothriidae","Phyllobothriidea","Cestoda","Platyhelminthes",2,"2","2larv","yes","int","no",NA,NA,NA,NA,NA,"ecto",0,"invert","aquatic",0,NA,NA,NA,NA,NA,NA,NA,NA,4,"3+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clistobothrium_carcharodoni"
"Clistobothrium carcharodoni","Clistobothrium","Phyllobothriidae","Phyllobothriidea","Cestoda","Platyhelminthes",3,"3","3larv","no","int","no",8,"Chordata","Mammalia",5.69460792988491,3.91289716055341,"endo",1,"vert","aquatic",0,"peritoneum","no","no","no","no","no","no","yes",4,"3+",NA,NA,NA,2070.72904314724,19.87,13.5875,NA,NA,NA,2070.72904314724,NA,NA,NA,"Clistobothrium_carcharodoni"
"Clistobothrium carcharodoni","Clistobothrium","Phyllobothriidae","Phyllobothriidea","Cestoda","Platyhelminthes",4,"4","adult","no","def","no",1,"Chordata","Elasmobranchii",5.96964909491648,4.53,"ecto",0,"invert","aquatic",0,"gut","no","yes","no","no","no","no","no",4,"3+",2070.72904314724,19.87,13.5875,26.07,33,0.79,NA,NA,-1.89998224359929,26.07,NA,NA,-1.89998224359929,"Clistobothrium_carcharodoni"
"Clistobothrium cf. montaukensis","Clistobothrium","Phyllobothriidae","Phyllobothriidea","Cestoda","Platyhelminthes",1,"1","1larv","yes","int","no",NA,NA,NA,NA,NA,"ecto",0,"invert","aquatic",0,NA,NA,NA,NA,NA,NA,NA,NA,3,"3",9.2027720799157e-06,0.026,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clistobothrium_cf._montaukensis"
"Clistobothrium cf. montaukensis","Clistobothrium","Phyllobothriidae","Phyllobothriidea","Cestoda","Platyhelminthes",2,"2","2larv","no","int","no",1,"Mollusca","Cephalopoda",NA,3.2,"ecto",0,"invert","aquatic",0,NA,NA,NA,NA,NA,NA,NA,NA,3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clistobothrium_cf._montaukensis"
